,id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
0,17082,9415,DOGEFOOD,DOGEFOOD,dogefood,1,2022-01-10T11:45:00.000Z,2023-06-26T12:30:00.000Z,,1839.0,BNB,BNB,bnb,0x1bec41a36356d5574aeb068b599ab7e48dd008b8
0,17084,8487,Quantum,QUA,quantum-tech,1,2022-01-10T14:53:00.000Z,2023-06-26T12:28:00.000Z,,3890.0,Polygon,MATIC,polygon,0x87e28bd5499e6846141a85659bc7f0cf815db11d
0,17088,5719,chikn feed,FEED,chikn-feed,1,2022-01-10T13:38:00.000Z,2023-06-26T12:28:00.000Z,,5805.0,Avalanche,AVAX,avalanche,0xab592d197acc575d16c3346f4eb70c703f308d1e
0,17093,9416,Lazy Horse Race Club,LHRC,lazy-horse-race-club,1,2022-01-10T18:25:00.000Z,2023-06-26T12:25:00.000Z,,3635.0,Cronos,CRO,cronos,0xefd450027bd0ee84afafbc75f5a80c367efbf651
0,17094,4492,AizaWorld,AIZA,aizaworld,1,2022-06-15T10:02:00.000Z,2023-06-26T12:27:00.000Z,,1839.0,BNB,BNB,bnb,0x5A3A7d1Fee2424A4c5f364C0c9Df24BEbb3eA5A3
0,17097,9417,SHIBIC,SHIBIC,shiba-inu-classic,1,2022-01-10T19:45:00.000Z,2023-06-26T12:25:00.000Z,,1839.0,BNB,BNB,bnb,0xaf3889ba617ac973b358513d9031778d2bc783df
0,17101,5309,Smartchem,SMAC,smartchem,1,2022-01-12T12:20:00.000Z,2023-06-26T12:25:00.000Z,,1027.0,Ethereum,ETH,ethereum,0xb9964c8b9c48800678e72b2fe7b9b365d3d0019d
0,17109,5207,Pay It Now,PIN,pay-it-now,1,2022-01-11T01:17:00.000Z,2023-06-26T12:27:00.000Z,,1839.0,BNB,BNB,bnb,0x5e8f6244a57f4f6c47daafc14aa0723d2a9f594c
0,17111,9418,TheSolanDAO,SDO,thesolandao,1,2022-01-11T02:29:00.000Z,2023-06-26T12:29:00.000Z,,5426.0,Solana,SOL,solana,7SZUnH7H9KptyJkUhJ5L4Kee5fFAbqVgCHvt7B6wg4Xc
0,17118,7016,DarkCrypto,DARK,darkcrypto,1,2022-01-11T04:41:00.000Z,2023-06-26T12:26:00.000Z,,3635.0,Cronos,CRO,cronos,0x83b2AC8642aE46FC2823Bc959fFEB3c1742c48B5
0,17120,9419,Safemoon Zilla,SFZ,safemoon-zilla,1,2022-01-11T07:45:00.000Z,2023-06-26T12:25:00.000Z,,1839.0,BNB,BNB,bnb,0x91656750bc364ff38adb51157acbb76f9f5ec2fe
0,17131,3264,IX Token,IXT,ix-token,1,2022-01-11T11:15:00.000Z,2023-06-26T12:25:00.000Z,,3890.0,Polygon,MATIC,polygon,0xe06bd4f5aac8d0aa337d13ec88db6defc6eaeefe
0,17133,4010,TopManager,TMT,topmanager,1,2022-01-11T12:30:00.000Z,2023-06-26T12:25:00.000Z,,1839.0,BNB,BNB,bnb,0x4803ac6b79f9582f69c4fa23c72cb76dd1e46d8d
0,17140,5743,ArbiSmart,RBIS,arbismart,1,2022-01-11T12:55:00.000Z,2023-06-26T12:25:00.000Z,,1027.0,Ethereum,ETH,ethereum,0xf34b1db61aca1a371fe97bad2606c9f534fb9d7d
0,17142,7360,Shiba Inu Pay,SHIBAY,shiba-inu-pay,1,2022-01-11T14:35:00.000Z,2023-06-26T12:25:00.000Z,,1839.0,BNB,BNB,bnb,0x0ff0eeceb900c6008bdde65479b5624d4e3415dc
0,17145,605,League of Kingdoms Arena,LOKA,league-of-kingdoms,1,2022-01-21T04:16:00.000Z,2023-06-26T12:26:00.000Z,,1027.0,Ethereum,ETH,ethereum,0x61e90a50137e1f645c9ef4a0d3a4f01477738406
0,17152,5422,PlutusFi,PLUT,plutusfi,1,2022-10-25T16:25:00.000Z,2023-06-26T12:25:00.000Z,,5426.0,Solana,SOL,solana,CiAkzbxkQCyY7hFtNeUHMbqiL8CXtbWaRnUJpJz5sBrE
0,17157,9420,Dream,DREAM,dream,1,2022-01-11T22:42:00.000Z,2023-06-26T12:27:00.000Z,,1027.0,Ethereum,ETH,ethereum,0xb44377B74Ef1773639B663d0754cB8410A847d02
0,17160,2931,VyFinance,VYFI,vyfinance,1,2022-06-30T21:45:00.000Z,2023-06-26T12:25:00.000Z,,2010.0,Cardano,ADA,cardano,804f5544c1962a40546827cab750a88404dc7108c0f588b72964754f56594649
0,17161,7636,SUPA Foundation,SUPA,supa-foundation,1,2022-01-17T07:35:00.000Z,2023-06-26T12:25:00.000Z,,3513.0,Fantom,FTM,fantom,0x59D07a115fe3FFe5db3D52029D43Cc0ef5e9ba08
0,17169,3161,Betswap.gg,BSGG,betswap-gg,1,2022-01-12T10:20:00.000Z,2023-06-26T12:25:00.000Z,,1027.0,Ethereum,ETH,ethereum,0x69570f3e84f51ea70b7b68055c8d667e77735a25
0,17172,8216,Revolution,REV,revolution,1,2022-01-12T04:29:00.000Z,2023-06-26T12:29:00.000Z,,1839.0,BNB,BNB,bnb,0x276b440fdb4c54631c882cac9e4317929e751ff8
0,17181,4752,Maia,MAIA,maia,1,2022-04-11T23:16:00.000Z,2023-06-26T12:26:00.000Z,,9640.0,MetisDAO,METIS,metisdao,0x72c232d56542ba082592dee7c77b1c6cfa758bcd
0,17183,5453,Lum Network,LUM,lum-network,1,2022-01-12T08:12:00.000Z,2023-06-26T12:27:00.000Z,,3794.0,Cosmos,ATOM,cosmos,IBC/8A34AF0C1943FD0DFCDE9ADBF0B2C9959C45E87E6088EA2FC6ADACD59261B8A2
0,17186,7933,Mindfolk Wood,$WOOD,mindfolk-wood,1,2022-01-12T09:56:00.000Z,2023-06-26T12:26:00.000Z,,5426.0,Solana,SOL,solana,674PmuiDtgKx3uKuJ1B16f9m5L84eFvNwj3xDMvHcbo7
0,17189,9421,Mimas Finance,MIMAS,mimas,1,2022-03-31T19:36:00.000Z,2023-06-26T12:26:00.000Z,,3635.0,Cronos,CRO,cronos,0x10c9284e6094b71d3ce4e38b8bffc668199da677
0,17192,7565,PAW,PAW,paw,1,2022-10-05T11:55:00.000Z,2023-06-26T12:30:00.000Z,,,,,,
0,17200,7238,Exchange Genesis Ethlas Medium,XGEM,exchange-genesis-ethlas-medium,1,2022-01-12T16:20:00.000Z,2023-06-26T12:25:00.000Z,,3890.0,Polygon,MATIC,polygon,0x02649C1Ff4296038De4b9bA8F491b42b940A8252
0,17203,2757,Deesse,LOVE,deesse,1,2022-01-12T17:50:00.000Z,2023-06-26T12:25:00.000Z,,1027.0,Ethereum,ETH,ethereum,0xdE4CE5447ce0c67920a1371605A39187Cb6847c8
0,17206,9422,Sacred Tails,ST,sacred-tails,1,2022-01-12T18:15:00.000Z,2023-06-26T12:25:00.000Z,,1839.0,BNB,BNB,bnb,0x1e4f2Ab406aa9764Ff05a9a8c8bF6B1c8B6f531F
